"","DV","Group"
"65",12.41,"Waiting List"
"66",19.79,"Waiting List"
"67",-2.32,"Waiting List"
"68",-1.18,"Waiting List"
"69",-7.43,"Waiting List"
"70",-31.93,"Waiting List"
"71",-0.78,"Waiting List"
"72",-18.49,"Waiting List"
"73",-5.83,"Waiting List"
"74",-2.64,"Waiting List"
"75",13.69,"Waiting List"
"76",2.75,"Waiting List"
"77",10.1,"Waiting List"
"78",-5.42,"Waiting List"
"79",26.47,"Waiting List"
"80",9.09,"Waiting List"
"81",-16.04,"Waiting List"
"82",-1.57,"Waiting List"
"83",23,"Waiting List"
"84",18.18,"Waiting List"
"85",0.47,"Waiting List"
"86",-6.81,"Waiting List"
"87",5.42,"Waiting List"
"88",28,"Waiting List"
"89",0.36,"Waiting List"
"90",25.22,"Waiting List"
"91",-13.06,"Waiting List"
"92",-30.07,"Waiting List"
"93",-4.89,"Waiting List"
"94",-9.81,"Waiting List"
"95",-9.06,"Waiting List"
"96",-3.48,"Waiting List"
"97",-30.08,"Waiting List"
"98",13.48,"Waiting List"
"99",13.11,"Waiting List"
"100",-18.82,"Waiting List"
"101",-1.95,"Waiting List"
"102",-13.05,"Waiting List"
"103",-1.68,"Waiting List"
"104",17.15,"Waiting List"
"105",6.54,"Waiting List"
"106",0.8,"Waiting List"
"107",15.13,"Waiting List"
"108",5.78,"Waiting List"
"109",-12.98,"Waiting List"
"110",-8.67,"Waiting List"
"111",15.21,"Waiting List"
"112",-0.33,"Waiting List"
"113",9.95,"Waiting List"
"114",30.06,"Waiting List"
"115",-5.6,"Waiting List"
"116",-8.37,"Waiting List"
"117",0.28,"Waiting List"
"118",-9.72,"Waiting List"
"119",7.61,"Waiting List"
"120",-3.29,"Waiting List"
"121",19.7,"Waiting List"
"122",-21.38,"Waiting List"
"123",-12.5,"Waiting List"
"124",0.66,"Waiting List"
"125",-24.29,"Waiting List"
"126",10.69,"Waiting List"
"127",21.17,"Waiting List"
"128",-7.46,"Waiting List"
"129",-39.1,"Waiting List"
"130",-10.95,"Waiting List"
"131",-3.84,"Waiting List"
"132",-9.37,"Waiting List"
"133",6.02,"Waiting List"
"134",5.84,"Waiting List"
"135",13.36,"Waiting List"
"136",7.4,"Waiting List"
"137",23.22,"Waiting List"
"138",8.13,"Waiting List"
"139",-11.1,"Waiting List"
"140",-13.5,"Waiting List"
"141",-8.41,"Waiting List"
"142",-8.42,"Waiting List"
"143",-1.25,"Waiting List"
"144",-6.34,"Waiting List"
"145",-15.72,"Waiting List"
"146",-4.6,"Waiting List"
"147",-15.1,"Waiting List"
"148",2.96,"Waiting List"
"149",-17.44,"Waiting List"
"150",3.48,"Waiting List"
"151",-10.89,"Waiting List"
"152",5.5,"Waiting List"
"153",2.81,"Waiting List"
"154",-29.58,"Waiting List"
"155",4.14,"Waiting List"
"156",-31.59,"Waiting List"
"157",-6.04,"Waiting List"
"158",-17.63,"Waiting List"
"159",27.84,"Waiting List"
"160",-18.3,"Waiting List"
"161",-13.89,"Waiting List"
"162",11.11,"Waiting List"
"163",6.03,"Waiting List"
"164",4.33,"Waiting List"
"165",14.98,"Waiting List"
"166",7.35,"Waiting List"
"167",-2.03,"Waiting List"
"168",-31.33,"Waiting List"
"169",-33.69,"Waiting List"
"170",-7.86,"Waiting List"
"171",-18.63,"Waiting List"
"172",-11.87,"Waiting List"
"173",1.03,"Waiting List"
"174",19.52,"Waiting List"
"175",-21.61,"Waiting List"
"176",-4.32,"Waiting List"
"177",11.04,"Waiting List"
"178",-14.41,"Waiting List"
"179",-12.25,"Waiting List"
"180",-13.56,"Waiting List"
"181",14.88,"Waiting List"
"182",17.64,"Waiting List"
"183",-12.29,"Waiting List"
"184",-3.05,"Waiting List"
"185",0.32,"Waiting List"
"186",12.65,"Waiting List"
"187",-14.23,"Waiting List"
"188",14.56,"Waiting List"
"189",-15.14,"Waiting List"
"190",6.86,"Waiting List"
"191",26.34,"Waiting List"
"192",32.84,"Waiting List"
"193",9.7,"Waiting List"
"194",19.62,"Waiting List"
"195",-1.76,"Waiting List"
"196",-3.86,"Waiting List"
"197",-13.81,"Waiting List"
"198",-13.19,"Waiting List"
"199",11.67,"Waiting List"
"200",12.05,"Waiting List"
"201",-1.69,"Waiting List"
"202",-13.55,"Waiting List"
"203",-19.59,"Waiting List"
"204",3.09,"Waiting List"
"205",-0.61,"Waiting List"
"206",15.08,"Waiting List"
"207",-10.92,"Waiting List"
"208",2.56,"Waiting List"
"209",3.71,"Waiting List"
"210",-13,"Waiting List"
"211",28.04,"Waiting List"
"212",-18.51,"Waiting List"
"213",12.78,"Waiting List"
"214",12.89,"Waiting List"
"215",-4.83,"Waiting List"
"216",16.71,"Waiting List"
"217",-12.51,"Waiting List"
"218",-10.46,"Waiting List"
"219",6.99,"Waiting List"
"220",9.49,"Waiting List"
"221",-5.62,"Waiting List"
"222",-9.43,"Waiting List"
"223",4.09,"Waiting List"
"224",12.74,"Waiting List"
"225",5.62,"Waiting List"
"226",-9.16,"Waiting List"
"227",-8.95,"Waiting List"
"228",0.61,"Waiting List"
"229",13.62,"Waiting List"
"230",-1,"Waiting List"
"231",16.63,"Waiting List"
"232",-3.82,"Waiting List"
"233",2.51,"Waiting List"
"234",-19.67,"Waiting List"
"235",14.45,"Waiting List"
"236",-42.68,"Waiting List"
"237",-3.93,"Waiting List"
"238",-10.46,"Waiting List"
"239",-25.13,"Waiting List"
"240",17.29,"Waiting List"
"241",-3.95,"Waiting List"
"242",8.34,"Waiting List"
"243",4.18,"Waiting List"
"244",-4.17,"Waiting List"
"245",-1.82,"Waiting List"
"246",-7.92,"Waiting List"
"247",-10.61,"Waiting List"
"248",-9.83,"Waiting List"
"249",31.46,"Waiting List"
"250",29.12,"Waiting List"
"251",-33.08,"Waiting List"
"252",32.92,"Waiting List"
"253",2.08,"Waiting List"
"254",1.86,"Waiting List"
"255",0.92,"Waiting List"
"256",-13.21,"Waiting List"
"257",-15.19,"Waiting List"
"258",10.7,"Waiting List"
"259",7.59,"Waiting List"
"260",8.68,"Waiting List"
"261",5.88,"Waiting List"
"262",-6.25,"Waiting List"
"263",-12.28,"Waiting List"
"264",-0.03,"Waiting List"
"265",1.76,"Waiting List"
"266",2.51,"Waiting List"
"267",-8.65,"Waiting List"
"268",-7.74,"Waiting List"
"269",6.39,"Waiting List"
"270",-11.9,"Waiting List"
"271",25.27,"Waiting List"
"272",18.71,"Waiting List"
"273",-2.77,"Waiting List"
"274",12.02,"Waiting List"
"275",-13.47,"Waiting List"
"276",-5.07,"Waiting List"
"277",-25.16,"Waiting List"
"278",23.61,"Waiting List"
"279",1.51,"Waiting List"
"280",13.24,"Waiting List"
"281",-17.36,"Waiting List"
"282",-2.4,"Waiting List"
"283",-27.66,"Waiting List"
"284",25.06,"Waiting List"
"285",-6.94,"Waiting List"
"286",18.59,"Waiting List"
"287",-9.71,"Waiting List"
"288",-9.81,"Waiting List"
"289",-2.84,"Waiting List"
"290",23.27,"Waiting List"
"291",-4.11,"Waiting List"
"292",-3.64,"Waiting List"
"293",1.37,"Waiting List"
"294",-10.03,"Waiting List"
"295",4.88,"Waiting List"
"296",14.88,"Waiting List"
"297",-42.94,"Waiting List"
"298",12.48,"Waiting List"
"299",15.68,"Waiting List"
"300",-9.15,"Waiting List"
"301",2.59,"Waiting List"
"302",-18.77,"Waiting List"
"303",-2.67,"Waiting List"
"304",5.63,"Waiting List"
"305",-25.25,"Waiting List"
"306",-6.3,"Waiting List"
"307",18.58,"Waiting List"
"308",-21.57,"Waiting List"
"309",26.98,"Waiting List"
"310",14.46,"Waiting List"
"311",-7.36,"Waiting List"
"312",-16.39,"Waiting List"
"313",-0.39,"Waiting List"
"314",8.46,"Waiting List"
"315",-7.09,"Waiting List"
"316",7.88,"Waiting List"
"317",-25.96,"Waiting List"
"318",-14.21,"Waiting List"
"319",2.63,"Waiting List"
"320",-17.2,"Waiting List"
"321",-10.18,"Waiting List"
"322",5.1,"Waiting List"
"323",1.68,"Waiting List"
"324",-19.5,"Waiting List"
"325",3.78,"Waiting List"
"326",9.32,"Waiting List"
"327",-10.26,"Waiting List"
"328",6.09,"Waiting List"
"329",-1.82,"Waiting List"
"330",24.83,"Waiting List"
"331",22.79,"Waiting List"
"332",-8.55,"Waiting List"
"333",-13.22,"Meditation"
"334",14.67,"Meditation"
"335",1.57,"Meditation"
"336",10.02,"Meditation"
"337",-1.06,"Meditation"
"338",8.18,"Meditation"
"339",-1.54,"Meditation"
"340",-11,"Meditation"
"341",20.88,"Meditation"
"342",-4.14,"Meditation"
"343",-17.12,"Meditation"
"344",-6.9,"Meditation"
"345",-3.37,"Meditation"
"346",-24.91,"Meditation"
"347",-7.12,"Meditation"
"348",10.04,"Meditation"
"349",17.4,"Meditation"
"350",10.34,"Meditation"
"351",-11.59,"Meditation"
"352",-28.46,"Meditation"
"353",-23.85,"Meditation"
"354",6.01,"Meditation"
"355",3.62,"Meditation"
"356",-1.11,"Meditation"
"357",8.9,"Meditation"
"358",-6.54,"Meditation"
"359",-7.07,"Meditation"
"360",8.75,"Meditation"
"361",10.08,"Meditation"
"362",-9.4,"Meditation"
"363",1.32,"Meditation"
"364",-1.14,"Meditation"
"365",-38.05,"Meditation"
"366",25.69,"Meditation"
"367",-7.71,"Meditation"
"368",-3.26,"Meditation"
"369",-13.66,"Meditation"
"370",-6.52,"Meditation"
"371",13.87,"Meditation"
"372",-0.73,"Meditation"
"373",-2.33,"Meditation"
"374",1.34,"Meditation"
"375",9.15,"Meditation"
"376",19.02,"Meditation"
"377",-8.85,"Meditation"
"378",21,"Meditation"
"379",4.19,"Meditation"
"380",36.82,"Meditation"
"381",-10.35,"Meditation"
"382",-24.15,"Meditation"
"383",29.32,"Meditation"
"384",-1.4,"Meditation"
"385",-11.93,"Meditation"
"386",-2.55,"Meditation"
"387",-3.15,"Meditation"
"388",16.83,"Meditation"
"389",-6.21,"Meditation"
"390",-13.51,"Meditation"
"391",-2.39,"Meditation"
"392",4.01,"Meditation"
"393",7.26,"Meditation"
"394",1.09,"Meditation"
"395",17.59,"Meditation"
"396",1.87,"Meditation"
"397",-5.7,"Meditation"
"398",23.36,"Meditation"
"399",-8.88,"Meditation"
"400",30.06,"Meditation"
"401",2.42,"Meditation"
"402",-8.22,"Meditation"
"403",2.95,"Meditation"
"404",17.56,"Meditation"
"405",3.27,"Meditation"
"406",10,"Meditation"
"407",3.16,"Meditation"
"408",-2.68,"Meditation"
"409",-4.05,"Meditation"
"410",10.89,"Meditation"
"411",8.46,"Meditation"
"412",-4.57,"Meditation"
"413",1.52,"Meditation"
"414",17.04,"Meditation"
"415",-31.08,"Meditation"
"416",17.24,"Meditation"
"417",5.08,"Meditation"
"418",-20.12,"Meditation"
"419",3.92,"Meditation"
"420",3.17,"Meditation"
"421",1.38,"Meditation"
"422",-3.76,"Meditation"
"423",9.77,"Meditation"
"424",-14.68,"Meditation"
"425",-0.5,"Meditation"
"426",3.63,"Meditation"
"427",0.02,"Meditation"
"428",-1.82,"Meditation"
"429",-10.38,"Meditation"
"430",13.47,"Meditation"
"431",-28.24,"Meditation"
"432",-5.48,"Meditation"
"433",-19.85,"Meditation"
"434",-6.92,"Meditation"
"435",-21.37,"Meditation"
"436",4.59,"Meditation"
"437",-35.29,"Meditation"
"438",-4.69,"Meditation"
"439",1.49,"Meditation"
"440",-7.76,"Meditation"
"441",-26.17,"Meditation"
"442",-0.34,"Meditation"
"443",7.46,"Meditation"
"444",15.63,"Meditation"
"445",-8.48,"Meditation"
"446",15.61,"Meditation"
"447",-9.85,"Meditation"
"448",-10.46,"Meditation"
"449",1.82,"Meditation"
"450",-5.61,"Meditation"
"451",-28.57,"Meditation"
"452",-24.04,"Meditation"
"453",21.25,"Meditation"
"454",-5.57,"Meditation"
"455",-1.28,"Meditation"
"456",-12.83,"Meditation"
"457",5.79,"Meditation"
"458",13.53,"Meditation"
"459",34.97,"Meditation"
"460",1.56,"Meditation"
"461",9.1,"Meditation"
"462",31.61,"Meditation"
"463",-13.93,"Meditation"
"464",-24.37,"Meditation"
"465",8.06,"Meditation"
"466",-4.28,"Meditation"
"467",9.71,"Meditation"
"468",3.75,"Meditation"
"469",-14.03,"Meditation"
"470",-37.72,"Meditation"
"471",-9.17,"Meditation"
"472",13.66,"Meditation"
"473",0.27,"Meditation"
"474",15.38,"Meditation"
"475",-6.87,"Meditation"
"476",-20.26,"Meditation"
"477",-25.55,"Meditation"
"478",6.8,"Meditation"
"479",-14.86,"Meditation"
"480",-27.58,"Meditation"
"481",11.15,"Meditation"
"482",-2.23,"Meditation"
"483",20.13,"Meditation"
"484",5.94,"Meditation"
"485",-11.92,"Meditation"
"486",-7.8,"Meditation"
"487",-2.37,"Meditation"
"488",8.16,"Meditation"
"489",7.66,"Meditation"
"490",0.26,"Meditation"
"491",-3.63,"Meditation"
"492",3.29,"Meditation"
"493",-5.53,"Meditation"
"494",-20.88,"Meditation"
"495",-8.58,"Meditation"
"496",-4.32,"Meditation"
"497",16.25,"Meditation"
"498",4.77,"Meditation"
"499",0.79,"Meditation"
"500",0.95,"Meditation"
"501",5.23,"Meditation"
"502",23.7,"Meditation"
"503",-1.3,"Meditation"
"504",3.91,"Meditation"
"505",-15.37,"Meditation"
"506",11.03,"Meditation"
"507",5.25,"Meditation"
"508",-10.11,"Meditation"
"509",9.63,"Meditation"
"510",-1.45,"Meditation"
"511",-2.25,"Meditation"
"512",-18.08,"Meditation"
"513",14.36,"Meditation"
"514",-14.61,"Meditation"
"515",-16.15,"Meditation"
"516",-26.3,"Meditation"
"517",-0.48,"Meditation"
"518",16.07,"Meditation"
"519",-13.31,"Meditation"
"520",-26.7,"Meditation"
"521",-25.43,"Meditation"
"522",3.15,"Meditation"
"523",-0.03,"Meditation"
"524",-3.76,"Meditation"
"525",-7.76,"Meditation"
"526",-10.82,"Meditation"
"527",-11.56,"Meditation"
"528",10.96,"Meditation"
"529",-19.42,"Meditation"
"530",11.68,"Meditation"
"531",-10.86,"Meditation"
"532",7.2,"Meditation"
"533",-1.83,"Meditation"
"534",-6.95,"Meditation"
"535",6.54,"Meditation"
"536",-14.71,"Meditation"
"537",-14.59,"Meditation"
"538",-25.07,"Meditation"
"539",1.82,"Meditation"
"540",-4.95,"Meditation"
"541",19.27,"Meditation"
"542",1.75,"Meditation"
"543",9.09,"Meditation"
"544",18.12,"Meditation"
"545",28.77,"Meditation"
"546",7.62,"Meditation"
"547",-23.69,"Meditation"
"548",-11.57,"Meditation"
"549",5.23,"Meditation"
"550",-22.05,"Meditation"
"551",2.54,"Meditation"
"552",8.44,"Meditation"
"553",35.72,"Meditation"
"554",-7.23,"Meditation"
"555",-19.42,"Meditation"
"556",-19.46,"Meditation"
"557",6.9,"Meditation"
"558",15.43,"Meditation"
"559",-15.73,"Meditation"
"560",-22.27,"Meditation"
"561",-0.91,"Meditation"
"562",-0.87,"Meditation"
"563",11.63,"Meditation"
"564",-8.96,"Meditation"
"565",-6.34,"Meditation"
"566",0.9,"Meditation"
"567",15.11,"Meditation"
"568",11,"Meditation"
"569",8.35,"Meditation"
"570",-18.75,"Meditation"
"571",-23.11,"Meditation"
"572",-36.51,"Meditation"
"573",-18.41,"Meditation"
"574",-1.33,"Meditation"
"575",26.28,"Meditation"
"576",9.05,"Meditation"
"577",-0.47,"Meditation"
"578",27.6,"Meditation"
"579",3.99,"Meditation"
"580",15.86,"Meditation"
"581",6.03,"Meditation"
"582",-30.19,"Meditation"
"583",-22.66,"Meditation"
"584",11.25,"Meditation"
"585",-3.66,"Meditation"
"586",36.52,"Meditation"
"587",-16.2,"Meditation"
"588",-6.6,"Meditation"
"589",1.07,"Meditation"
"590",-6.64,"Meditation"
"591",-25.47,"Meditation"
"592",13.01,"Meditation"
"593",6.72,"Meditation"
"594",-22.14,"Meditation"
"595",-0.64,"Meditation"
"596",-15.75,"Meditation"
"597",-21.5,"Meditation"
"598",2.56,"Meditation"
"599",-2.24,"Meditation"
"600",9.34,"Meditation"
"601",5.74,"Meditation"
"602",-2.78,"Meditation"
"603",-10.07,"Meditation"
"604",-18.97,"Meditation"
"605",-11.13,"Meditation"
"606",-28.92,"Meditation"
"607",-3.36,"Meditation"
"608",-2.38,"Meditation"
"609",4.81,"Meditation"
"610",9.59,"Meditation"
"611",-16.88,"Meditation"
"612",6.48,"Meditation"
"613",-7,"Meditation"
"614",-29.02,"Meditation"
"615",6.88,"Meditation"
"616",-26.06,"Meditation"
"617",5.51,"Meditation"
"618",-21.93,"Meditation"
"619",-18.74,"Meditation"
"620",10.48,"Meditation"
"621",-5.09,"Meditation"
"622",-13.26,"Meditation"
"623",18.13,"Meditation"
"624",-4.6,"Meditation"
"625",-40.5,"Meditation"
"626",-3.57,"Meditation"
"627",25.44,"Meditation"
"628",-1.03,"Meditation"
"629",-20.37,"Meditation"
"630",1.1,"Meditation"
"631",37.86,"Meditation"
"632",-0.7,"Meditation"
"633",2.11,"Meditation"
"634",4.57,"Meditation"
"635",-9.03,"Meditation"
"636",12.6,"Meditation"
"637",-10.01,"Meditation"
"638",-18.47,"Meditation"
"639",-0.79,"Meditation"
"640",14.81,"Meditation"
"641",-37.24,"Meditation"
"642",6.66,"Meditation"
"643",-16.14,"Meditation"
"644",4.22,"Meditation"
"645",-11.37,"Meditation"
"646",-22.29,"Meditation"
"647",-17.89,"Meditation"
"648",9.28,"Meditation"
"649",-13.59,"Meditation"
"650",-1.82,"Meditation"
"651",-6.24,"Meditation"
"652",-9.99,"Meditation"
"653",6.51,"Meditation"
"654",-1.39,"Meditation"
"655",-2.47,"Meditation"
"656",-11.07,"Meditation"
"657",-6.09,"Meditation"
"658",-29.53,"Meditation"
"659",-31.99,"Meditation"
"660",-21.87,"Meditation"
"661",-13.95,"Meditation"
"662",17.71,"Meditation"
"663",-24.92,"Meditation"
"664",11.2,"Meditation"
